dig_des,dep_id,total_visits,readmissions,readmission_rate_pct,avg_bill_amount
Dermatology,DPT902,146,20,13.7,12489.36
Oncology,DPT678,132,18,13.6,11078.95
Musculoskeletal,DPT256,154,21,13.6,11224.49
Preventive,DPT915,132,18,13.6,12465.12
Autoimmune Disorders,DPT369,148,20,13.5,12975.61
Hematology,DPT520,141,19,13.5,14500.0
Occupational Health,DPT119,133,18,13.5,11795.45
Cardiac Electrophysiology,DPT802,148,20,13.5,14936.17
Pediatrics,DPT305,112,15,13.4,12625.0
Cardiovascular,DPT913,127,17,13.4,15078.95
Neurological,DPT902,149,20,13.4,12900.0
Toxicology,DPT802,120,16,13.3,11961.54
Palliative,DPT223,128,17,13.3,12558.82
Endocrine,DPT526,136,18,13.2,12050.0
Addiction,DPT845,129,17,13.2,14085.71
Preventive,DPT520,152,20,13.2,13108.11
Endoscopy,DPT678,137,18,13.1,14857.14
Reproductive - Male,DPT624,130,17,13.1,12717.95
Oral,DPT237,122,16,13.1,12882.35
Addiction,DPT913,153,20,13.1,13285.71
Reproductive - Female,DPT305,130,17,13.1,12114.29
Pain Management,DPT119,145,19,13.1,12529.41
Otolaryngology,DPT902,123,16,13.0,11562.5
Neuromuscular,DPT731,131,17,13.0,11166.67
Hepatic,DPT110,131,17,13.0,12083.33
Pain Management,DPT794,131,17,13.0,11853.66
Pain Management,DPT913,124,16,12.9,11030.3
Radiology,DPT364,147,19,12.9,14073.17
Occupational Health,DPT369,101,13,12.9,12258.06
Endoscopy,DPT119,140,18,12.9,13375.0
Infectious,DPT915,164,21,12.8,15083.33
Respiratory,DPT859,133,17,12.8,12272.73
Palliative,DPT902,149,19,12.8,13725.0
Toxicology,DPT859,158,20,12.7,12756.76
Toxicology,DPT119,142,18,12.7,10222.22
Autoimmune Disorders,DPT589,165,21,12.7,11750.0
Renal,DPT223,142,18,12.7,12400.0
Reconstructive,DPT794,127,16,12.6,14821.43
Reconstructive,DPT678,136,17,12.5,12648.65
Endocrine,DPT794,120,15,12.5,12000.0
Allergy,DPT119,152,19,12.5,14309.52
Hepatic,DPT256,129,16,12.4,14000.0
Autoimmune Disorders,DPT110,121,15,12.4,11111.11
Occupational Health,DPT364,153,19,12.4,11812.5
Neuromuscular,DPT104,146,18,12.3,12526.32
Hematology,DPT742,146,18,12.3,11828.57
Congenital,DPT418,148,18,12.2,14410.26
Gastrointestinal,DPT859,131,16,12.2,13277.78
Geriatrics,DPT526,116,14,12.1,11322.58
Palliative,DPT802,133,16,12.0,14277.78
Gastrointestinal,DPT742,133,16,12.0,11636.36
Hematology,DPT915,150,18,12.0,12187.5
Dermatology,DPT681,117,14,12.0,11500.0
Oncology,DPT845,134,16,11.9,15250.0
Congenital,DPT802,135,16,11.9,14525.0
Metabolic Disorders,DPT589,159,19,11.9,12090.91
Sleep Disorders,DPT915,136,16,11.8,11806.45
Cardiovascular,DPT104,127,15,11.8,12823.53
Urinary,DPT104,145,17,11.7,13948.72
Reconstructive,DPT110,121,14,11.6,14866.67
Musculoskeletal,DPT915,148,17,11.5,11454.55
Endocrine,DPT110,123,14,11.4,13000.0
Reproductive - Female,DPT731,141,16,11.3,13150.0
Metabolic Disorders,DPT802,134,15,11.2,13771.43
Hepatic,DPT418,144,16,11.1,14250.0
Geriatrics,DPT110,152,16,10.5,11520.0
Palliative,DPT589,171,18,10.5,13423.08
Hepatic,DPT223,133,14,10.5,13435.9
Metabolic Disorders,DPT859,134,14,10.4,11875.0
Dermatology,DPT217,144,14,9.7,14121.95
Neurological,DPT859,128,12,9.4,11487.8
